road_type,weather,light,traffic,temperature,battery,vehicle_weight,correct_action,predicted_action,verdict
Semi Urban,Foggy,night,moderate,23,11,1974.7,Pull over,Turn on headlights,Risky
Semi Urban,Foggy,night,high,22,32,2381.61,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,moderate,5,55,2456.71,Turn on headlights,Maintain speed,Risky
Highway,Sunny,day,moderate,37,92,2458.3,Maintain speed,Pull over,Risky
Rural,Sunny,day,moderate,35,42,2025.04,Maintain speed,Activate hazard lights,Risky
Highway,Foggy,day,no,-8,58,1621.43,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,moderate,27,100,1899.94,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,moderate,-9,84,1782.42,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,high,34,21,1530.48,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,no,37,90,2117.51,Maintain speed,Reduce speed,Risky
Rural,Rainy,night,high,31,42,1553.58,Reduce speed,Pull over,Risky
Semi Urban,Rainy,night,moderate,17,69,2103.54,Turn on headlights,Reduce speed,Risky
Rural,Sunny,day,moderate,23,62,1736.66,Maintain speed,Reduce speed,Risky
Semi Urban,Foggy,day,no,30,34,1927.63,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,high,0,75,2218.83,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,day,high,15,60,2081.83,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,high,4,73,2177.63,Reduce speed,Activate hazard lights,Acceptable
Highway,Rainy,day,moderate,32,94,2430.51,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,moderate,-10,44,2421.92,Maintain speed,Pull over,Risky
Highway,Rainy,night,no,25,37,2068.42,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,high,27,57,2131.36,Reduce speed,Pull over,Risky
Highway,Rainy,night,moderate,28,12,1888.26,Pull over,Maintain speed,Unsafe
Highway,Sunny,day,high,13,24,2488.63,Activate hazard lights,Pull over,Risky
Highway,Foggy,night,moderate,17,93,2393.81,Turn on headlights,Activate hazard lights,Risky
Rural,Sunny,day,no,3,41,1851.1,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,no,8,76,1758.31,Turn on headlights,Reduce speed,Risky
Rural,Sunny,day,no,12,38,1727.09,Maintain speed,Reduce speed,Risky
Highway,Rainy,night,no,12,23,1686.24,Turn on headlights,Turn on headlights,Optimal
Highway,Snow,night,high,-3,32,1723.28,Reduce speed,Maintain speed,Risky
Highway,Sunny,night,high,39,89,1726.02,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,24,76,2130.26,Maintain speed,Turn on headlights,Risky
Highway,Foggy,day,high,7,88,1519.97,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,day,moderate,2,46,2215.42,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,high,18,83,2258.39,Reduce speed,Maintain speed,Risky
Highway,Sunny,day,no,20,11,2451.09,Pull over,Turn on headlights,Risky
Rural,Sunny,day,no,-4,14,2323.71,Pull over,Pull over,Optimal
Highway,Foggy,day,moderate,1,27,1616.86,Activate hazard lights,Reduce speed,Risky
Semi Urban,Foggy,day,moderate,17,12,2080.71,Pull over,Activate hazard lights,Acceptable
Semi Urban,Sunny,day,no,-7,70,1931.04,Maintain speed,Turn on headlights,Risky
Semi Urban,Sunny,night,high,-6,40,1654.73,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,no,22,58,2206.6,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,no,-9,68,2450.3,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Snow,day,moderate,-8,55,2201.56,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,high,0,55,2122.88,Reduce speed,Turn on headlights,Risky
Highway,Foggy,day,no,8,54,1695.65,Maintain speed,Turn on headlights,Risky
Semi Urban,Sunny,day,no,28,13,1633.1,Pull over,Pull over,Optimal
Highway,Foggy,day,high,21,12,2308.87,Pull over,Turn on headlights,Risky
Highway,Foggy,night,high,23,84,1606.15,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,moderate,10,90,1745.49,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,moderate,5,13,1947.08,Pull over,Pull over,Optimal
Rural,Sunny,night,high,39,96,1797.96,Reduce speed,Turn on headlights,Risky
Semi Urban,Foggy,day,high,17,65,1847.61,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,moderate,30,18,1627.74,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,high,7,39,1803.55,Reduce speed,Turn on headlights,Risky
Semi Urban,Sunny,night,high,36,77,2369.49,Reduce speed,Maintain speed,Risky
Highway,Rainy,day,no,37,59,1828.76,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,moderate,3,56,2326.9,Maintain speed,Turn on headlights,Risky
Highway,Snow,day,no,-8,41,2133.21,Reduce speed,Pull over,Risky
Rural,Sunny,night,moderate,18,82,2343.26,Turn on headlights,Activate hazard lights,Risky
Rural,Foggy,day,moderate,-3,39,2343.13,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,day,moderate,17,73,2200.69,Maintain speed,Turn on headlights,Risky
Rural,Sunny,day,high,6,80,1798.21,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,high,31,48,2420.24,Reduce speed,Activate hazard lights,Acceptable
Rural,Sunny,day,no,26,52,2273.46,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,high,4,100,1539.31,Maintain speed,Turn on headlights,Risky
Highway,Foggy,day,no,18,81,1925.97,Maintain speed,Activate hazard lights,Risky
Rural,Rainy,night,no,-4,91,2200.31,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,moderate,32,53,2176.1,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,no,17,33,2396.25,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,no,-9,47,2044.19,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,high,-9,83,2476.93,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,10,20,1633.66,Activate hazard lights,Reduce speed,Risky
Semi Urban,Rainy,day,moderate,14,77,1855.84,Reduce speed,Turn on headlights,Risky
Rural,Rainy,night,high,30,93,1936.91,Reduce speed,Maintain speed,Risky
Rural,Sunny,night,high,25,69,1900.48,Reduce speed,Turn on headlights,Risky
Rural,Snow,day,high,5,44,2499.51,Maintain speed,Reduce speed,Risky
Semi Urban,Rainy,night,no,34,93,1945.79,Turn on headlights,Pull over,Risky
Semi Urban,Foggy,day,high,-7,13,2195.63,Pull over,Pull over,Optimal
Semi Urban,Rainy,day,no,34,45,1982.75,Maintain speed,Turn on headlights,Risky
Highway,Sunny,night,no,29,14,1829.78,Pull over,Pull over,Optimal
Rural,Rainy,night,no,26,47,2271.66,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Snow,night,no,1,19,1806.0,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,no,-10,27,1868.23,Activate hazard lights,Pull over,Risky
Rural,Snow,day,moderate,-2,88,1645.39,Reduce speed,Reduce speed,Optimal
Semi Urban,Snow,day,high,-7,69,2190.54,Reduce speed,Pull over,Risky
Rural,Foggy,day,high,-3,69,1749.51,Maintain speed,Pull over,Risky
Rural,Rainy,night,no,1,83,1695.89,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Snow,night,moderate,0,96,2333.7,Turn on headlights,Pull over,Risky
Rural,Sunny,night,moderate,15,60,1768.53,Turn on headlights,Pull over,Risky
Semi Urban,Sunny,night,high,26,30,2408.91,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,moderate,2,29,2375.59,Activate hazard lights,Pull over,Risky
Semi Urban,Rainy,day,high,-10,43,2176.4,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,no,27,12,2375.0,Pull over,Pull over,Optimal
Highway,Rainy,night,moderate,-3,19,1761.64,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,night,moderate,38,88,1936.33,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,moderate,9,79,2175.61,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Sunny,night,moderate,6,12,2272.67,Pull over,Pull over,Optimal
Rural,Foggy,night,high,15,83,1562.3,Reduce speed,Pull over,Risky
Semi Urban,Rainy,night,moderate,27,67,2229.52,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,high,18,91,2337.31,Maintain speed,Activate hazard lights,Risky
Rural,Rainy,night,high,-2,44,1582.46,Reduce speed,Maintain speed,Risky
Semi Urban,Sunny,night,no,-5,80,1756.39,Turn on headlights,Maintain speed,Risky
Rural,Foggy,day,no,27,72,1832.93,Maintain speed,Pull over,Risky
Highway,Rainy,night,no,39,73,1996.19,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,night,no,21,41,2162.15,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,moderate,-1,63,1775.74,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Rainy,night,moderate,21,81,1832.67,Turn on headlights,Pull over,Risky
Rural,Foggy,night,high,34,93,2406.3,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,moderate,3,97,1965.88,Maintain speed,Activate hazard lights,Risky
Highway,Foggy,day,no,11,16,1758.85,Activate hazard lights,Activate hazard lights,Optimal
Highway,Sunny,night,high,16,11,2247.29,Pull over,Reduce speed,Risky
Rural,Rainy,day,moderate,33,37,2328.81,Reduce speed,Turn on headlights,Risky
Semi Urban,Rainy,night,high,10,83,1865.82,Reduce speed,Turn on headlights,Risky
Semi Urban,Sunny,night,no,26,67,1573.12,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,no,31,39,2229.88,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,no,16,25,2109.78,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Snow,day,moderate,-2,27,2084.99,Reduce speed,Maintain speed,Risky
Highway,Rainy,night,high,20,48,2120.11,Reduce speed,Turn on headlights,Risky
Highway,Sunny,day,moderate,16,92,1959.18,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,moderate,2,62,2376.77,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,high,30,10,2030.9,Pull over,Maintain speed,Unsafe
Highway,Foggy,night,high,10,64,2374.02,Reduce speed,Reduce speed,Optimal
Highway,Snow,night,high,-9,69,2392.79,Reduce speed,Pull over,Risky
Semi Urban,Foggy,night,moderate,20,51,2335.27,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,high,22,78,2198.43,Reduce speed,Activate hazard lights,Acceptable
Rural,Sunny,day,no,34,32,1697.21,Maintain speed,Reduce speed,Risky
Semi Urban,Sunny,day,no,14,24,2326.88,Activate hazard lights,Maintain speed,Risky
Highway,Rainy,night,no,35,92,1853.86,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,night,moderate,12,90,1646.69,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,night,moderate,-4,64,1630.73,Turn on headlights,Maintain speed,Risky
Highway,Rainy,day,no,27,49,2447.25,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,day,high,38,15,2167.3,Activate hazard lights,Turn on headlights,Risky
Semi Urban,Foggy,day,moderate,2,90,2241.24,Maintain speed,Pull over,Risky
Semi Urban,Sunny,day,no,19,100,1779.3,Maintain speed,Maintain speed,Optimal
Highway,Snow,night,moderate,-10,69,2171.54,Reduce speed,Pull over,Risky
Semi Urban,Rainy,day,moderate,16,81,2438.65,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,no,4,38,1662.89,Maintain speed,Pull over,Risky
Highway,Sunny,night,moderate,-10,77,1908.39,Turn on headlights,Maintain speed,Risky
Highway,Rainy,day,high,-3,12,1911.56,Pull over,Maintain speed,Unsafe
Highway,Foggy,night,high,27,56,2405.33,Reduce speed,Turn on headlights,Risky
Highway,Sunny,night,no,14,13,1562.82,Pull over,Pull over,Optimal
Semi Urban,Sunny,day,high,37,56,1997.91,Maintain speed,Activate hazard lights,Risky
Semi Urban,Rainy,day,high,-6,56,2271.78,Reduce speed,Pull over,Risky
Semi Urban,Sunny,day,no,-7,53,2154.74,Maintain speed,Activate hazard lights,Risky
Rural,Rainy,day,high,27,54,2386.6,Reduce speed,Pull over,Risky
Highway,Sunny,night,moderate,1,93,2232.4,Turn on headlights,Maintain speed,Risky
Semi Urban,Foggy,night,high,16,65,1560.1,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Snow,night,no,-5,35,2045.64,Reduce speed,Maintain speed,Risky
Rural,Sunny,day,no,1,16,2118.64,Activate hazard lights,Maintain speed,Risky
Semi Urban,Foggy,day,high,30,98,1931.23,Maintain speed,Turn on headlights,Risky
Rural,Sunny,day,no,39,35,2061.6,Maintain speed,Turn on headlights,Risky
Highway,Foggy,day,moderate,13,53,2256.19,Maintain speed,Pull over,Risky
Highway,Rainy,day,high,3,69,2083.19,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,no,-2,19,2139.94,Activate hazard lights,Pull over,Risky
Rural,Sunny,night,moderate,17,100,2110.76,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,no,37,51,2151.09,Turn on headlights,Pull over,Risky
Semi Urban,Rainy,night,no,26,44,2446.88,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,no,-1,48,1690.44,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,high,7,70,2014.11,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,moderate,34,58,2064.37,Reduce speed,Pull over,Risky
Rural,Sunny,night,no,35,54,1571.56,Turn on headlights,Reduce speed,Risky
Semi Urban,Sunny,day,high,19,57,1621.21,Maintain speed,Activate hazard lights,Risky
Semi Urban,Rainy,day,no,34,57,2332.95,Maintain speed,Pull over,Risky
Rural,Rainy,night,no,15,97,2368.1,Turn on headlights,Turn on headlights,Optimal
Highway,Snow,day,high,-9,83,1996.68,Reduce speed,Turn on headlights,Risky
Highway,Sunny,night,moderate,8,26,1601.78,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,no,-4,35,1916.24,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,high,10,54,2387.46,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,no,19,40,2217.24,Turn on headlights,Maintain speed,Risky
Semi Urban,Sunny,night,moderate,12,97,2495.37,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,moderate,39,94,1692.85,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Snow,day,moderate,-2,24,2498.18,Reduce speed,Pull over,Risky
Highway,Rainy,night,moderate,-1,92,2070.03,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,high,39,73,2017.39,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,high,18,73,2300.18,Maintain speed,Reduce speed,Risky
Highway,Foggy,night,no,37,49,2007.52,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,moderate,7,30,2145.02,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,day,high,26,79,1838.6,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,no,13,98,1694.67,Maintain speed,Reduce speed,Risky
Highway,Foggy,day,high,24,45,2429.53,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,high,11,44,2026.42,Maintain speed,Activate hazard lights,Risky
Highway,Foggy,day,high,-2,47,1579.82,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,high,0,14,1843.23,Pull over,Turn on headlights,Risky
Semi Urban,Rainy,day,no,-6,27,2370.81,Activate hazard lights,Maintain speed,Risky
Semi Urban,Foggy,night,high,21,40,2459.94,Reduce speed,Reduce speed,Optimal
Highway,Foggy,day,high,8,71,2255.98,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,no,38,96,1652.27,Turn on headlights,Maintain speed,Risky
Semi Urban,Sunny,night,no,3,82,1723.43,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,moderate,8,72,1698.16,Reduce speed,Maintain speed,Risky
Highway,Sunny,night,high,15,36,2224.94,Reduce speed,Turn on headlights,Risky
Semi Urban,Sunny,day,no,19,48,1839.02,Maintain speed,Reduce speed,Risky
Highway,Foggy,night,moderate,36,21,2104.24,Turn on headlights,Turn on headlights,Optimal
Highway,Snow,night,high,-4,57,1575.89,Reduce speed,Reduce speed,Optimal
Rural,Sunny,day,no,8,67,2047.35,Maintain speed,Pull over,Risky
Semi Urban,Foggy,day,high,11,53,1993.41,Maintain speed,Reduce speed,Risky
Semi Urban,Snow,night,no,4,16,1527.8,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Snow,day,no,-3,11,1522.78,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,moderate,22,69,2221.62,Turn on headlights,Activate hazard lights,Risky
Rural,Rainy,night,moderate,24,97,2484.97,Turn on headlights,Maintain speed,Risky
Semi Urban,Rainy,night,moderate,16,60,1871.43,Turn on headlights,Turn on headlights,Optimal
Rural,Snow,night,moderate,4,92,1712.02,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,high,33,91,1797.61,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,moderate,14,55,2261.75,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,moderate,23,14,1810.01,Pull over,Pull over,Optimal
Semi Urban,Rainy,day,no,18,18,1642.14,Activate hazard lights,Activate hazard lights,Optimal
Rural,Foggy,night,moderate,5,71,1563.58,Turn on headlights,Maintain speed,Risky
Semi Urban,Snow,night,moderate,-9,26,2389.63,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,moderate,14,66,2351.03,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,high,11,57,1929.15,Maintain speed,Reduce speed,Risky
Rural,Snow,day,high,2,13,2495.84,Pull over,Activate hazard lights,Acceptable
Semi Urban,Foggy,night,moderate,14,46,2344.18,Turn on headlights,Maintain speed,Risky
Rural,Rainy,night,moderate,0,16,1639.7,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,night,moderate,11,91,2217.04,Turn on headlights,Maintain speed,Risky
Rural,Rainy,day,high,2,83,1818.95,Reduce speed,Pull over,Risky
Rural,Sunny,day,no,2,66,1672.51,Maintain speed,Maintain speed,Optimal
Highway,Snow,day,no,-3,28,2157.17,Reduce speed,Maintain speed,Risky
Rural,Rainy,day,moderate,-10,16,1562.79,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,moderate,39,85,1849.23,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,no,0,69,1721.62,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,moderate,27,72,2369.86,Turn on headlights,Activate hazard lights,Risky
Highway,Rainy,night,moderate,-10,96,1967.0,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,high,-6,25,1921.74,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,high,22,24,1769.96,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,high,37,98,1796.46,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,-3,52,2257.75,Turn on headlights,Maintain speed,Risky
Highway,Foggy,day,moderate,35,99,1764.35,Maintain speed,Activate hazard lights,Risky
Semi Urban,Sunny,day,no,-10,71,1812.43,Maintain speed,Pull over,Risky
Highway,Rainy,day,moderate,31,43,2195.72,Reduce speed,Activate hazard lights,Acceptable
Rural,Sunny,night,high,16,36,1833.52,Reduce speed,Activate hazard lights,Acceptable
Rural,Rainy,night,high,1,25,2083.53,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,no,25,46,2475.53,Turn on headlights,Pull over,Risky
Highway,Sunny,night,high,38,90,1985.79,Reduce speed,Turn on headlights,Risky
Rural,Foggy,night,moderate,23,18,2395.04,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,high,1,69,2139.05,Reduce speed,Reduce speed,Optimal
Highway,Rainy,day,no,11,34,1695.94,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,day,no,14,57,2442.28,Maintain speed,Reduce speed,Risky
Highway,Sunny,night,no,28,26,1685.29,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,moderate,1,45,2073.62,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Snow,day,moderate,4,11,2119.04,Pull over,Pull over,Optimal
Rural,Foggy,day,no,26,57,2211.01,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,moderate,20,28,1927.94,Reduce speed,Maintain speed,Risky
Semi Urban,Foggy,night,moderate,22,29,1944.96,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,moderate,19,71,1888.26,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,moderate,-1,90,1569.13,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Sunny,night,high,-8,81,1579.55,Reduce speed,Turn on headlights,Risky
Semi Urban,Foggy,day,moderate,1,61,1746.65,Maintain speed,Activate hazard lights,Risky
Semi Urban,Foggy,night,no,15,67,1977.61,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,no,-2,57,2404.88,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,no,37,78,1858.86,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,no,38,84,2364.63,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,no,-1,88,1932.79,Maintain speed,Maintain speed,Optimal
Highway,Sunny,day,moderate,24,60,2359.8,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,day,high,37,49,1902.02,Reduce speed,Activate hazard lights,Acceptable
Rural,Foggy,night,high,32,33,1890.31,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Sunny,night,no,7,33,2227.35,Turn on headlights,Turn on headlights,Optimal
